species_id,species,superclass,class,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
fis_4033,Hypostomus multidens,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Hypostominae,Hypostomus,multidens,"Jerep, Shibatta & Zawadzki, 2007",NA,0,native
fis_4034,Australoheros ribeirae,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Cichlinae,Australoheros,ribeirae,"Ottoni, Oyakawa & Costa, 2008",NA,0,endemic
fis_4035,Hyphessobrycon khardinae,Osteichthyes,Teleostei,Characiformes,Characidae,Stethaprioninae,Hyphessobrycon,khardinae,"Zarske, 2008",NA,0,native
fis_4036,Characidium nupelia,Osteichthyes,Teleostei,Characiformes,Crenuchidae,Characidiinae,Characidium,nupelia,"da Graça, Pavanelli & Buckup, 2008",NA,0,native
fis_4037,Characidium xavante,Osteichthyes,Teleostei,Characiformes,Crenuchidae,Characidiinae,Characidium,xavante,"da Graça, Pavanelli & Buckup, 2008",NA,0,native
fis_4038,Trichomycterus crassicaudatus,Osteichthyes,Teleostei,Siluriformes,Trichomycteridae,Trichomycterinae,Trichomycterus,crassicaudatus,"Wosiacki & de Pinna, 2008",NA,0,native
fis_4039,Rineloricaria tropeira,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,tropeira,"Ghazzi, 2008",NA,0,native
fis_4040,Rineloricaria anitae,Osteichthyes,Teleostei,Siluriformes,Loricariidae,Loricariinae,Rineloricaria,anitae,"Ghazzi, 2008",NA,0,native
fis_4041,Salminus franciscanus,Osteichthyes,Teleostei,Characiformes,Bryconidae,Salmininae,Salminus,franciscanus,"Lima & Britski, 2007",Dourado,0,endemic
fis_4042,Crenicichla hadrostigma,Osteichthyes,Teleostei,Cichliformes,Cichlidae,Cichlinae,Crenicichla,hadrostigma,"Lucena, 2007",NA,0,native
