species_id,species,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
mam_168,Saimiri collinsi,Primates,Cebidae,Cebinae,Saimiri,collinsi,"Osgood, 1916",macaco-de-cheiro,NA,NA
mam_169,Saimiri macrodon,Primates,Cebidae,Cebinae,Saimiri,macrodon,"Elliot, 1907",macaco-de-cheiro,NA,NA
mam_170,Saimiri sciureus,Primates,Cebidae,Cebinae,Saimiri,sciureus,"(Linnaeus, 1758)",macaco-de-cheiro,NA,NA
mam_171,Saimiri ustus,Primates,Cebidae,Cebinae,Saimiri,ustus,"(I. Geoffroy St.-Hilaire, 1843)",macaco-de-cheiro,NA,NA
mam_172,Saimiri vanzolinii,Primates,Cebidae,Cebinae,Saimiri,vanzolinii,"Ayres, 1985",macaco-de-cheiro-de-cabeça-preta,NA,NA
mam_173,Sapajus apella,Primates,Cebidae,Cebinae,Sapajus,apella,"(Linnaeus, 1758)",macaco-prego,NA,NA
mam_174,Sapajus cay,Primates,Cebidae,Cebinae,Sapajus,cay,"(Illiger, 1815)",macaco-prego,NA,NA
mam_175,Sapajus flavius,Primates,Cebidae,Cebinae,Sapajus,flavius,"(Schreber, 1799)",macaco-prego-galego,NA,NA
mam_176,Sapajus libidinosus,Primates,Cebidae,Cebinae,Sapajus,libidinosus,"(Spix, 1823)",macaco-prego,NA,NA
mam_177,Sapajus macrocephalus,Primates,Cebidae,Cebinae,Sapajus,macrocephalus,"(Spix, 1823)",macaco-prego,NA,NA
mam_178,Sapajus nigritus,Primates,Cebidae,Cebinae,Sapajus,nigritus,"(Goldfuss, 1809)","macaco-prego, mico",NA,NA
mam_179,Sapajus robustus,Primates,Cebidae,Cebinae,Sapajus,robustus,"(Kuhl, 1820)",macaco-prego-de-crista,NA,NA
mam_180,Sapajus xanthosternos,Primates,Cebidae,Cebinae,Sapajus,xanthosternos,"(Wied-Neuwied, 1820)",macaco-prego-do-peito-amarelo,NA,NA
mam_181,Cacajao amuna,Primates,Pitheciidae,Pitheciinae,Cacajao,amuna,"Silva et al., 2022",uacari-branco,NA,NA
mam_182,Cacajao calvus,Primates,Pitheciidae,Pitheciinae,Cacajao,calvus,"(I. Geoffroy St.-Hilaire, 1847)",uacari-branco,NA,NA
mam_183,Cacajao melanocephalus,Primates,Pitheciidae,Pitheciinae,Cacajao,melanocephalus,"(Humboldt, 1811)",uacari-preto,NA,NA
mam_184,Cacajao novaesi,Primates,Pitheciidae,Pitheciinae,Cacajao,novaesi,"Hershkovitz, 1987",uacari-branco,NA,NA
mam_185,Cacajao ouakary,Primates,Pitheciidae,Pitheciinae,Cacajao,ouakary,"(Spix, 1823)","uacari-preto, bicó",NA,NA
mam_186,Cacajao rubicundus,Primates,Pitheciidae,Pitheciinae,Cacajao,rubicundus,"(I. Geoffroy St.-Hilaire & Deville, 1848)",uacari-branco,NA,NA
mam_187,Cacajao ucayalii,Primates,Pitheciidae,Pitheciinae,Cacajao,ucayalii,"Thomas, 1928",uacari-branco,NA,NA
mam_188,Chiropotes albinasus,Primates,Pitheciidae,Pitheciinae,Chiropotes,albinasus,"(I. Geoffroy St.-Hilaire & Deville, 1848)",cuxiú-de-nariz-vermelho,NA,NA
mam_189,Chiropotes chiropotes,Primates,Pitheciidae,Pitheciinae,Chiropotes,chiropotes,"(Humboldt, 1811)",cuxiú,NA,NA
mam_190,Chiropotes sagulatus,Primates,Pitheciidae,Pitheciinae,Chiropotes,sagulatus,"(Traill, 1821)",cuxiú,NA,NA
mam_191,Chiropotes satanas,Primates,Pitheciidae,Pitheciinae,Chiropotes,satanas,"(Hoffmannsegg, 1807)",cuxiú-preto,NA,NA
mam_192,Chiropotes utahickae,Primates,Pitheciidae,Pitheciinae,Chiropotes,utahickae,"Hershkovitz, 1985",cuxiú,NA,NA
mam_193,Pithecia albicans,Primates,Pitheciidae,Pitheciinae,Pithecia,albicans,"(Gray, 1860)",parauacu-branco,NA,NA
mam_194,Pithecia cazuzai,Primates,Pitheciidae,Pitheciinae,Pithecia,cazuzai,"Marsh, 2014",parauacu,NA,NA
mam_195,Pithecia chrysocephala,Primates,Pitheciidae,Pitheciinae,Pithecia,chrysocephala,"I. Geoffroy St.-Hilaire, 1850",parauacu-da-cara-branca,NA,NA
mam_196,Pithecia hirsuta,Primates,Pitheciidae,Pitheciinae,Pithecia,hirsuta,"(Spix, 1823)","parauacu, macaco-cabeludo, macaco-velho",NA,NA
mam_197,Pithecia inusta,Primates,Pitheciidae,Pitheciinae,Pithecia,inusta,"(Spix, 1823)","parauacu, macaco-cabeludo, macaco-velho",NA,NA
mam_198,Pithecia irrorata,Primates,Pitheciidae,Pitheciinae,Pithecia,irrorata,"Gray, 1843","parauacu, macaco-cabeludo, macaco-velho",NA,NA
mam_199,Pithecia vanzolinii,Primates,Pitheciidae,Pitheciinae,Pithecia,vanzolinii,"(Hershkovitz, 1987)",parauacu,NA,NA
mam_200,Pithecia monachus,Primates,Pitheciidae,Pitheciinae,Pithecia,monachus,"É. Geoffroy St.-Hilaire, 1812","parauacu, macaco-voador, macaco-velho",NA,NA
mam_201,Pithecia pithecia,Primates,Pitheciidae,Pitheciinae,Pithecia,pithecia,"(Linnaeus, 1766)",parauacu-da-cara-branca,NA,NA
mam_202,Callicebus barbarabrownae,Primates,Pitheciidae,Callicebinae,Callicebus,barbarabrownae,"Hershkovitz, 1990",guigó-da-caatinga,NA,NA
mam_203,Callicebus coimbrai,Primates,Pitheciidae,Callicebinae,Callicebus,coimbrai,"Kobayashi & Langguth, 1999",guigó,NA,NA
mam_204,Callicebus melanochir,Primates,Pitheciidae,Callicebinae,Callicebus,melanochir,"(Wied-Neuwied, 1820)",guigó,NA,NA
