species_id,species,order,family,subfamily,genus,epithet,author,common_name_br,category_iucn,endemic_br
mam_72,Euphractus sexcinctus,Cingulata,Chlamyphoridae,Euphractinae,Euphractus,sexcinctus,"(Linnaeus, 1758)","tatu-peba, peba, tatu-papa-defunto, tatupoiú, tatu-de-mão-amarela, tatu-cascudo, tatu-peludo, tatu-testa-de-ferro",NA,NA
mam_73,Cabassous squamicaudis,Cingulata,Chlamyphoridae,Tolypeutinae,Cabassous,squamicaudis,"(Lund, 1845)",tatu-de-rabo-mole,NA,NA
mam_74,Cabassous tatouay,Cingulata,Chlamyphoridae,Tolypeutinae,Cabassous,tatouay,"(Desmarest, 1804)","tatu-de-rabo-mole-grande, tatu-de-rabo-mole",NA,NA
mam_75,Cabassous unicinctus,Cingulata,Chlamyphoridae,Tolypeutinae,Cabassous,unicinctus,"(Linnaeus, 1758)","tatu-de-rabo-mole, tatu-de-rabo-mole-comum, cabassú, tatu-rabo-de-couro, tatu-de-rabo-mole-pequeno",NA,NA
mam_76,Priodontes maximus,Cingulata,Chlamyphoridae,Tolypeutinae,Priodontes,maximus,"(Kerr, 1792)","tatu-canastra, tatu-açu, tatuaçu",NA,NA
mam_77,Tolypeutes matacus,Cingulata,Chlamyphoridae,Tolypeutinae,Tolypeutes,matacus,"(Desmarest, 1804)","tatu-bola, mataco",NA,NA
mam_78,Tolypeutes tricinctus,Cingulata,Chlamyphoridae,Tolypeutinae,Tolypeutes,tricinctus,"(Linnaeus, 1758)","tatu-bola, tatu-bola-da-caatinga, tatu-apara, bola, bolinha, tranquinha, tatu-bola-do-nordeste",NA,NA
mam_79,Bradypus crinitus,Pilosa,Bradypodidae,NA,Bradypus,crinitus,"Gray, 1850","preguiça-de-coleira, preguiça-de-coleira-do-sudeste",NA,NA
mam_80,Bradypus torquatus,Pilosa,Bradypodidae,NA,Bradypus,torquatus,"Illiger, 1811","preguiça-de-coleira, preguiça-de-coleira-do-nordeste, aipixuna, aí-pixuna, preguiça-preta, aí-igapó",NA,NA
mam_81,Bradypus tridactylus,Pilosa,Bradypodidae,NA,Bradypus,tridactylus,"Linnaeus, 1758","preguiça-de-bentinho, aí, preguiça-de-três-dedos, preguiça-do-norte, preguiça-de-garganta-amarela",NA,NA
